Timestamp,Player,X,Y,Result,P1_ShipsSunk,P1_Hits,P1_Misses,P2_ShipsSunk,P2_Hits,P2_Misses
2026-05-18T13:29:06.978410400,P1,6,7,HIT,1,1,0,0,0,0
2026-05-18T13:30:58.740926,P2,8,5,MISS,1,1,0,0,0,1
2026-05-18T13:33:28.088880900,P1,1,1,HIT,2,2,0,0,0,1
2026-05-18T13:33:41.648058,P2,1,1,HIT,2,2,0,1,1,1
2026-05-18T13:33:53.416808700,P1,2,3,HIT,3,3,0,1,1,1
2026-05-18T13:34:00.952295,P2,2,3,HIT,3,3,0,2,2,1
2026-05-18T13:34:08.377762900,P1,4,5,HIT,4,4,0,2,2,1
2026-05-18T13:34:32.744045100,P2,6,7,HIT,4,4,0,3,3,1
2026-05-18T13:34:43.487769700,P1,8,2,HIT,5,5,0,3,3,1
2026-05-18T13:34:43.487769700,GAME_OVER,,,,,,,,,,
